frequency,power
2.518741732113116694e+00,3.371241596656851178e-03
2.527569520954023652e+00,1.159330344363830720e-03
2.536397309794931054e+00,2.934955222055950826e-03
2.545225098635838012e+00,4.909488705818892962e-03
2.554052887476744971e+00,6.275616785882191274e-03
2.562880676317652373e+00,6.946407026180337341e-03
2.571708465158559331e+00,6.911701027470451390e-03
2.580536253999466290e+00,6.211927902401560495e-03
2.589364042840373248e+00,4.935910312586325698e-03
2.598191831681280206e+00,3.218487484090701897e-03
2.607019620522187608e+00,1.273177604700912076e-03
2.615847409363094567e+00,1.181001621371689228e-03
2.624675198204001525e+00,3.196958646024844041e-03
2.633502987044908927e+00,5.082454402819483637e-03
2.642330775885815886e+00,6.613945155103612659e-03
2.651158564726722844e+00,7.643035444123217649e-03
2.659986353567629802e+00,8.051251311598355345e-03
2.668814142408536760e+00,7.757279498391098961e-03
2.677641931249444163e+00,6.727256910113249555e-03
2.686469720090351121e+00,4.982103797319905290e-03
2.695297508931258079e+00,2.617624336330280719e-03
2.704125297772165482e+00,9.535246115783704932e-04
2.712953086613072440e+00,4.015612631150188537e-03
2.721780875453979398e+00,7.696690696303631028e-03
2.730608664294886356e+00,1.152721667114814212e-02
2.739436453135793315e+00,1.530531386837909701e-02
2.748264241976700717e+00,1.883316792658383185e-02
2.757092030817607675e+00,2.191962835646609278e-02
2.765919819658514633e+00,2.439772653201222399e-02
2.774747608499422036e+00,2.614232565787394380e-02
2.783575397340328994e+00,2.707969740636289105e-02
2.792403186181235952e+00,2.718613614217582630e-02
2.801230975022142911e+00,2.647901274272443373e-02
2.810058763863049869e+00,2.500696040525067498e-02
2.818886552703957271e+00,2.284461121095496261e-02
2.827714341544864229e+00,2.009310728268024621e-02
2.836542130385771188e+00,1.688321097633348200e-02
2.845369919226678590e+00,1.337556402656178006e-02
2.854197708067585548e+00,9.754128474945243654e-03
2.863025496908492507e+00,6.215138535033697294e-03
2.871853285749399465e+00,2.977545883372735482e-03
2.880681074590306423e+00,9.717752831164945754e-04
2.889508863431213825e+00,2.713448468450650481e-03
2.898336652272120784e+00,4.476064070796606509e-03
2.907164441113027742e+00,5.654305909749313304e-03
2.915992229953935144e+00,6.199813809836777698e-03
2.924820018794842102e+00,6.127166196920608154e-03
2.933647807635749061e+00,5.493344336287331146e-03
2.942475596476656019e+00,4.392999623168704869e-03
2.951303385317562977e+00,2.950791824314872355e-03
2.960131174158470380e+00,1.310174020245696933e-03
2.968958962999377338e+00,3.965683776655112521e-04
2.977786751840284296e+00,1.992546576555563262e-03
2.986614540681192143e+00,3.374376594644590624e-03
2.995442329522098657e+00,4.420791051658314215e-03
3.004270118363005615e+00,5.036701146826446165e-03
3.013097907203913017e+00,5.153053504671690176e-03
3.021925696044819531e+00,4.733052692711270902e-03
3.030753484885726934e+00,3.776676910079051260e-03
3.039581273726633892e+00,2.320692117548442835e-03
3.048409062567540850e+00,4.340288607449095237e-04
3.057236851408448253e+00,1.793010836733198617e-03
3.066064640249355211e+00,4.249619231235750652e-03
3.074892429090262169e+00,6.817323356604554178e-03
3.083720217931169127e+00,9.368760116199886800e-03
3.092548006772076086e+00,1.177237312593890084e-02
3.101375795612983488e+00,1.389868894398306985e-02
3.110203584453890446e+00,1.563008233413567399e-02
3.119031373294797405e+00,1.687205511864198898e-02
3.127859162135704363e+00,1.756221263671966029e-02
3.136686950976612209e+00,1.767372210143742031e-02
3.145514739817518723e+00,1.721293740044485543e-02
3.154342528658425682e+00,1.621380939933327742e-02
3.163170317499332640e+00,1.473247365289991929e-02
3.171998106340240042e+00,1.284391819155102782e-02
3.180825895181146556e+00,1.064041109609588712e-02
3.189653684022053959e+00,8.229828621096958383e-03
3.198481472862961361e+00,5.731765281909767008e-03
3.207309261703868764e+00,3.270413219134619097e-03
3.216137050544775278e+00,9.654418020557889056e-04
3.224964839385682236e+00,1.080480176564150869e-03
3.233792628226589194e+00,2.778803050097521012e-03
3.242620417067496597e+00,4.070837696108573454e-03
3.251448205908403555e+00,4.919444226759540212e-03
3.260275994749310513e+00,5.311563634838013803e-03
3.269103783590217915e+00,5.258102606882330589e-03
3.277931572431124874e+00,4.794522212300250143e-03
3.286759361272032276e+00,3.981195581486355467e-03
3.295587150112938346e+00,2.903585423171393953e-03
3.304414938953845748e+00,1.682211461006028787e-03
3.313242727794753595e+00,6.749806298074256588e-04
3.322070516635660109e+00,1.295091666615072121e-03
3.330898305476567067e+00,2.406470836819410604e-03
3.339726094317474470e+00,3.356903362940042660e-03
3.348553883158380984e+00,4.025283203198452148e-03
3.357381671999288386e+00,4.341883808641016501e-03
3.366209460840195344e+00,4.263404226223870518e-03
3.375037249681102303e+00,3.773287523780338715e-03
3.383865038522009705e+00,2.885683414711823908e-03
3.392692827362916663e+00,1.662443214555601794e-03
3.401520616203823622e+00,6.310914999297440519e-04
