frequency,power
1.868383378917090942e+00,3.591814873693439103e-01
1.877374397688852614e+00,4.747987351618550567e-01
1.886365416460614064e+00,5.316023415109637495e-01
1.895356435232375736e+00,5.324100666484505862e-01
1.904347454004137408e+00,4.835983210560533263e-01
1.913338472775899080e+00,3.948743941056231943e-01
1.922329491547660973e+00,2.785289638702909687e-01
1.931320510319422201e+00,1.481224070214568478e-01
1.940311529091183873e+00,1.698704172483462074e-02
1.949302547862945767e+00,1.031632424418949256e-01
1.958293566634707217e+00,2.026643427123945018e-01
1.967284585406468445e+00,2.745446214125766282e-01
1.976275604178230338e+00,3.144676584616098447e-01
1.985266622949992232e+00,3.209126059524574082e-01
1.994257641721753460e+00,2.953161022329967578e-01
2.003248660493515132e+00,2.420346571038464456e-01
2.012239679265277026e+00,1.679153632971348287e-01
2.021230698037038476e+00,8.147750023529382046e-02
2.030221716808799926e+00,1.101098713436753432e-02
2.039212735580561819e+00,9.401812376579156416e-02
2.048203754352323269e+00,1.664771327472318319e-01
2.057194773124084719e+00,2.207856552557833640e-01
2.066185791895846613e+00,2.528921402453839229e-01
2.075176810667608063e+00,2.608270295720953591e-01
2.084167829439369513e+00,2.448844269088618908e-01
2.093158848211131406e+00,2.076777959752537928e-01
2.102149866982892856e+00,1.538910849046199736e-01
2.111140885754654750e+00,8.971076077517846359e-02
2.120131904526416200e+00,2.275094023287637865e-02
2.129122923298177650e+00,4.457909801940927730e-02
2.138113942069939544e+00,1.005194887422692640e-01
2.147104960841700994e+00,1.431556465247506571e-01
2.156095979613462887e+00,1.688033472380185140e-01
2.165086998385224337e+00,1.755999652649218312e-01
2.174078017156985787e+00,1.635218912449196427e-01
2.183069035928747681e+00,1.344386027087131064e-01
2.192060054700509131e+00,9.193276947324495463e-02
2.201051073472270581e+00,4.086297831657281082e-02
2.210042092244032474e+00,1.383609796570240379e-02
2.219033111015793924e+00,6.563338147986243210e-02
2.228024129787555374e+00,1.104715831417749511e-01
2.237015148559317268e+00,1.440906447804508883e-01
2.246006167331078718e+00,1.635298686532436208e-01
2.254997186102840612e+00,1.671805708227592779e-01
2.263988204874602062e+00,1.549711461456085848e-01
2.272979223646363511e+00,1.284428201105367873e-01
2.281970242418125405e+00,9.062394984637363315e-02
2.290961261189886855e+00,4.576405356671851138e-02
2.299952279961648749e+00,8.079208116300962833e-03
2.308943298733410199e+00,4.904849864429357970e-02
2.317934317505171649e+00,8.827068084152292493e-02
2.326925336276933542e+00,1.178604514056237756e-01
2.335916355048694992e+00,1.351154363778438727e-01
2.344907373820456442e+00,1.386114193422746943e-01
2.353898392592218336e+00,1.282913840889827461e-01
2.362889411363979786e+00,1.055319376625234729e-01
2.371880430135741236e+00,7.307744151678367828e-02
2.380871448907503130e+00,3.515559182199824717e-02
2.389862467679264579e+00,1.446379453680534527e-02
2.398853486451026473e+00,4.880938778874124168e-02
2.407844505222787923e+00,8.157953223786960917e-02
2.416835523994549373e+00,1.057788055497341229e-01
2.425826542766311267e+00,1.188512909161215797e-01
