frequency,power
1.824407987289660360e+00,1.704625160455063709e-02
1.832694345117500623e+00,1.898252038586290338e-02
1.840980702945341108e+00,2.113260877199946500e-02
1.849267060773181592e+00,2.258158417108503332e-02
1.857553418601021411e+00,2.272001171824533303e-02
1.865839776428862118e+00,2.121780141899990216e-02
1.874126134256702381e+00,1.801017623116843089e-02
1.882412492084542643e+00,1.335640057052876577e-02
1.890698849912383128e+00,8.171619063525641102e-03
1.898985207740223391e+00,6.124343455880001258e-03
1.907271565568063876e+00,1.056317912574876276e-02
1.915557923395903916e+00,1.653701287109922771e-02
1.923844281223744401e+00,2.182087371024945058e-02
1.932130639051584886e+00,2.562764042215625107e-02
1.940416996879424705e+00,2.750916348020129160e-02
1.948703354707264968e+00,2.721837645629594793e-02
1.956989712535105674e+00,2.471062625525895576e-02
1.965276070362945937e+00,2.017331672058480727e-02
1.973562428190786200e+00,1.406534103560678345e-02
1.981848786018626241e+00,7.354002769479510600e-03
1.990135143846466503e+00,4.857730806459454979e-03
1.998421501674307432e+00,1.073775956621117467e-02
2.006707859502147251e+00,1.726986693932334657e-02
2.014994217329987958e+00,2.266092477772271505e-02
2.023280575157828221e+00,2.632757432903643641e-02
2.031566932985668483e+00,2.794532678721320038e-02
2.039853290813508746e+00,2.739188475107958917e-02
2.048139648641349009e+00,2.476187653290804272e-02
2.056426006469189272e+00,2.037338907689284148e-02
2.064712364297029534e+00,1.475795512522505917e-02
2.072998722124870241e+00,8.740564076421817805e-03
2.081285079952710504e+00,4.674307395245198490e-03
2.089571437780550767e+00,7.397048458170375589e-03
2.097857795608391029e+00,1.223032764418356504e-02
2.106144153436231292e+00,1.632423467880575810e-02
2.114430511264071555e+00,1.911742981899114055e-02
2.122716869091911818e+00,2.050260609484233498e-02
2.131003226919752080e+00,2.065524056191014521e-02
2.139289584747592343e+00,1.999805204467470718e-02
2.147575942575433050e+00,1.910908090190337541e-02
2.155862300403273313e+00,1.851582707208640488e-02
2.164148658231113576e+00,1.842897635873591913e-02
2.172435016058953838e+00,1.863344870108715745e-02
2.180721373886794101e+00,1.865324795793734877e-02
2.189007731714634364e+00,1.799786767511456567e-02
2.197294089542474627e+00,1.631544967665742724e-02
