time,flux
1.956082861040884836e+03,1.797177672386169434e+00
1.956084249924396772e+03,1.780755877494812012e+00
1.956085638807916894e+03,1.757639527320861816e+00
1.956087027691421554e+03,1.796821713447570801e+00
1.956088416574933945e+03,1.780600547790527122e+00
1.956089805458439287e+03,1.776184439659118652e+00
1.956091194341943947e+03,1.765484333038330078e+00
1.956092583225441103e+03,1.778857350349426270e+00
1.956093972108938488e+03,1.742358565330505149e+00
1.956095360992436099e+03,1.755984544754028320e+00
1.956096749875926434e+03,1.769912838935852051e+00
1.956098138759424046e+03,1.735473036766052246e+00
1.956099527642907105e+03,1.757756352424621582e+00
1.956100916526397668e+03,1.748645186424255149e+00
1.956102305409880728e+03,1.747290968894958496e+00
1.956103694293364015e+03,1.765941858291625977e+00
1.956105083176840026e+03,1.757909297943115234e+00
1.956106472060316491e+03,1.793328285217285156e+00
1.956107860943793185e+03,1.754022002220153809e+00
1.956109249827268741e+03,1.749518752098083496e+00
1.956110638710737703e+03,1.783600807189941406e+00
1.956112027594205529e+03,1.760005950927734375e+00
1.956113416477666306e+03,1.789929151535033958e+00
1.956114805361127537e+03,1.761091470718383567e+00
1.956116194244588769e+03,1.768496274948119895e+00
1.956117583128050455e+03,1.801643848419189675e+00
1.956118972011504866e+03,1.805580973625183105e+00
1.956120360894958367e+03,1.790100336074829102e+00
1.956121749778412322e+03,1.813265442848205566e+00
1.956123138661866733e+03,1.799397349357604758e+00
1.956124527545313640e+03,1.799783229827880859e+00
1.956125916428760320e+03,1.820943713188171165e+00
1.956127305312199951e+03,1.813509941101074441e+00
1.956128694195639127e+03,1.797126650810241699e+00
1.956130083079078304e+03,1.760061025619506836e+00
1.956131471962517253e+03,1.799208521842956321e+00
1.956132860845949153e+03,1.793055176734924316e+00
1.956134249729381509e+03,1.786290168762207031e+00
1.956135638612814319e+03,1.766254186630249023e+00
1.956137027496247583e+03,1.749243497848510742e+00
1.956138416379672890e+03,1.770117878913879172e+00
1.956139805263097514e+03,1.811066150665283203e+00
1.956141194146522366e+03,1.797646164894104004e+00
1.956142583029939942e+03,1.791819453239440696e+00
1.956143971913357973e+03,1.790151476860046387e+00
1.956145360796775549e+03,1.769631147384643555e+00
1.956146749680193125e+03,1.788883566856384277e+00
1.956148138563603652e+03,1.786825656890869141e+00
1.956149527447013270e+03,1.786281943321228027e+00
1.956150916330423115e+03,1.790061950683593528e+00
1.956152305213833642e+03,1.793731808662414329e+00
1.956153694097236894e+03,1.812570691108703613e+00
1.956155082980639918e+03,1.783650159835815430e+00
1.956156471864043169e+03,1.797413349151611106e+00
1.956157860747438690e+03,1.810774803161620872e+00
1.956159249630841941e+03,1.811194419860840066e+00
1.956160638514237917e+03,1.803519129753112793e+00
1.956162027397633665e+03,1.827564477920532005e+00
1.956163416281022364e+03,1.830491781234741211e+00
1.956164805164411518e+03,1.824564933776855247e+00
1.956166194047800900e+03,1.826923608779907227e+00
1.956167582931188690e+03,1.827731370925903098e+00
1.956168971814576707e+03,1.784516811370849609e+00
1.956170360697957904e+03,1.803611755371093528e+00
1.956171749581339100e+03,1.804527878761291504e+00
1.956173138464720751e+03,1.765965819358825684e+00
1.956174527348101947e+03,1.791867733001708762e+00
1.956175916231476322e+03,1.764456391334533691e+00
1.956177305114850469e+03,1.745473384857177512e+00
1.956178693998223935e+03,1.756041884422302246e+00
1.956180082881598310e+03,1.769587397575378418e+00
1.956181471764965181e+03,1.742597103118896484e+00
1.956182860648339101e+03,1.732508063316345215e+00
1.956184249531705518e+03,1.725864768028259277e+00
1.956185638415065114e+03,1.688048124313354492e+00
1.956187027298431303e+03,1.604035735130310059e+00
1.956188416181790444e+03,1.549910783767699973e+00
1.956189805065149585e+03,1.429335117340087891e+00
1.956191193948509181e+03,1.311193227767944336e+00
1.956192582831869686e+03,1.189627647399902344e+00
1.956193971715222460e+03,1.045674443244934082e+00
1.956195360598581601e+03,9.065491557121276855e-01
1.956196749481933921e+03,8.107218742370604359e-01
1.956198138365286468e+03,7.222357988357543945e-01
1.956199527248631284e+03,6.398897171020507812e-01
1.956200916131983604e+03,5.703333616256713867e-01
1.956202305015328420e+03,5.576786994934082031e-01
1.956203693898673237e+03,5.571776032447814941e-01
1.956205082782017598e+03,5.664716362953186035e-01
1.956206471665354456e+03,5.830864310264587402e-01
1.956207860548699500e+03,5.954504609107971191e-01
1.956209249432036813e+03,6.750999689102172852e-01
